,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125
m2,8.0,28.0,27.0,17.0,13.0,52.0,5.0,42.0,35.0,33.0,63.0,41.0,40.0,10.0,19.0,30.0,40.0,7.0,2.0,54.0,10.0,3.0,0.0,24.0,23.0,16.0,22.0,12.0,5.0,3.0,26.0,25.0,11.0,18.0,24.0,9.0,4.0,10.0,11.0,13.0,11.0,4.0,4.0,6.0,3.0,40.0,32.0,31.0,49.0,47.0,2.0,1.0,34.0,33.0,25.0,24.0,34.0,17.0,23.0,8.0,3.0,39.0,25.0,24.0,9.0,2.0,23.0,22.0,15.0,21.0,26.0,11.0,25.0,24.0,17.0,23.0,25.0,10.0,24.0,23.0,16.0,22.0,35.0,31.0,30.0,29.0,29.0,36.0,38.0,9.0,8.0,9.0,7.0,6.0,31.0,27.0,26.0,25.0,1.0,39.0,44.0,43.0,32.0,26.0,28.0,33.0,35.0,36.0,41.0,40.0,18.0,20.0,16.0,10.0,12.0,14.0,8.0,10.0,46.0,39.0,40.0,23.0,51.0,49.0,17.0,24.0,15.0,19.0,26.0,32.0,17.0,43.0,52.0,50.0,57.0,56.0,42.0,35.0,36.0,43.0,48.0,47.0,44.0,49.0,48.0,55.0
m3,32.0,4.0,5.0,21.0,31.0,28.0,29.0,18.0,11.0,11.0,39.0,17.0,16.0,18.0,11.0,10.0,16.0,19.0,24.0,30.0,14.0,21.0,24.0,0.0,1.0,8.0,2.0,18.0,25.0,27.0,4.0,5.0,19.0,12.0,6.0,21.0,26.0,28.0,15.0,17.0,29.0,22.0,24.0,24.0,23.0,16.0,8.0,9.0,25.0,23.0,26.0,25.0,10.0,9.0,1.0,2.0,10.0,9.0,3.0,20.0,25.0,15.0,1.0,2.0,15.0,22.0,1.0,2.0,9.0,3.0,4.0,17.0,3.0,4.0,11.0,5.0,3.0,16.0,2.0,3.0,10.0,4.0,11.0,7.0,8.0,5.0,9.0,12.0,14.0,15.0,16.0,17.0,17.0,18.0,7.0,3.0,4.0,5.0,23.0,15.0,20.0,19.0,8.0,2.0,4.0,9.0,11.0,12.0,17.0,16.0,22.0,24.0,22.0,16.0,18.0,24.0,18.0,20.0,22.0,15.0,16.0,15.0,27.0,25.0,23.0,16.0,25.0,25.0,18.0,12.0,27.0,19.0,28.0,26.0,33.0,32.0,18.0,11.0,12.0,19.0,24.0,23.0,20.0,25.0,24.0,31.0
m4,31.0,5.0,6.0,20.0,30.0,29.0,28.0,19.0,12.0,10.0,40.0,18.0,17.0,17.0,10.0,9.0,17.0,18.0,23.0,31.0,13.0,20.0,23.0,1.0,0.0,7.0,1.0,17.0,24.0,26.0,5.0,4.0,18.0,11.0,5.0,20.0,25.0,27.0,14.0,16.0,28.0,21.0,23.0,23.0,22.0,17.0,9.0,8.0,26.0,24.0,25.0,24.0,11.0,10.0,2.0,1.0,11.0,8.0,2.0,19.0,24.0,16.0,2.0,3.0,14.0,21.0,2.0,1.0,8.0,2.0,5.0,16.0,4.0,3.0,10.0,4.0,4.0,15.0,3.0,2.0,9.0,3.0,12.0,8.0,7.0,6.0,8.0,13.0,15.0,14.0,15.0,16.0,16.0,17.0,8.0,4.0,3.0,4.0,22.0,16.0,21.0,20.0,9.0,3.0,5.0,10.0,12.0,13.0,18.0,17.0,21.0,23.0,21.0,15.0,17.0,23.0,17.0,19.0,23.0,16.0,17.0,14.0,28.0,26.0,22.0,15.0,24.0,24.0,17.0,11.0,26.0,20.0,29.0,27.0,34.0,33.0,19.0,12.0,13.0,20.0,25.0,24.0,21.0,26.0,25.0,32.0
m5,24.0,12.0,13.0,13.0,23.0,36.0,21.0,26.0,19.0,17.0,47.0,25.0,24.0,10.0,3.0,14.0,24.0,11.0,16.0,38.0,6.0,13.0,16.0,8.0,7.0,0.0,6.0,10.0,17.0,19.0,12.0,11.0,11.0,4.0,10.0,13.0,18.0,20.0,7.0,9.0,21.0,14.0,16.0,16.0,15.0,24.0,16.0,15.0,33.0,31.0,18.0,17.0,18.0,17.0,9.0,8.0,18.0,1.0,7.0,12.0,17.0,23.0,9.0,10.0,7.0,14.0,9.0,8.0,1.0,7.0,12.0,9.0,11.0,10.0,3.0,9.0,11.0,8.0,10.0,9.0,2.0,8.0,19.0,15.0,14.0,13.0,13.0,20.0,22.0,7.0,8.0,9.0,9.0,10.0,15.0,11.0,10.0,9.0,15.0,23.0,28.0,27.0,16.0,10.0,12.0,17.0,19.0,20.0,25.0,24.0,14.0,16.0,14.0,8.0,10.0,16.0,10.0,12.0,30.0,23.0,24.0,7.0,35.0,33.0,15.0,8.0,17.0,17.0,10.0,16.0,19.0,27.0,36.0,34.0,41.0,40.0,26.0,19.0,20.0,27.0,32.0,31.0,28.0,33.0,32.0,39.0
m6,30.0,6.0,7.0,19.0,29.0,30.0,27.0,20.0,13.0,11.0,41.0,19.0,18.0,16.0,9.0,8.0,18.0,17.0,22.0,32.0,12.0,19.0,22.0,2.0,1.0,6.0,0.0,16.0,23.0,25.0,6.0,5.0,17.0,10.0,4.0,19.0,24.0,26.0,13.0,15.0,27.0,20.0,22.0,22.0,21.0,18.0,10.0,9.0,27.0,25.0,24.0,23.0,12.0,11.0,3.0,2.0,12.0,7.0,1.0,18.0,23.0,17.0,3.0,4.0,13.0,20.0,3.0,2.0,7.0,1.0,6.0,15.0,5.0,4.0,9.0,3.0,5.0,14.0,4.0,3.0,8.0,2.0,13.0,9.0,8.0,7.0,7.0,14.0,16.0,13.0,14.0,15.0,15.0,16.0,9.0,5.0,4.0,3.0,21.0,17.0,22.0,21.0,10.0,4.0,6.0,11.0,13.0,14.0,19.0,18.0,20.0,22.0,20.0,14.0,16.0,22.0,16.0,18.0,24.0,17.0,18.0,13.0,29.0,27.0,21.0,14.0,23.0,23.0,16.0,10.0,25.0,21.0,30.0,28.0,35.0,34.0,20.0,13.0,14.0,21.0,26.0,25.0,22.0,27.0,26.0,33.0
m7,14.0,22.0,15.0,11.0,21.0,46.0,17.0,36.0,29.0,27.0,57.0,35.0,34.0,2.0,13.0,24.0,34.0,5.0,10.0,48.0,4.0,11.0,12.0,18.0,17.0,10.0,16.0,0.0,7.0,9.0,14.0,13.0,1.0,6.0,12.0,3.0,8.0,18.0,5.0,7.0,19.0,12.0,8.0,14.0,9.0,34.0,26.0,25.0,43.0,41.0,10.0,11.0,28.0,27.0,19.0,18.0,28.0,11.0,17.0,4.0,9.0,33.0,19.0,18.0,3.0,10.0,17.0,16.0,9.0,15.0,16.0,1.0,15.0,14.0,7.0,13.0,17.0,2.0,16.0,15.0,8.0,14.0,29.0,25.0,24.0,23.0,23.0,30.0,32.0,5.0,4.0,3.0,7.0,6.0,25.0,21.0,20.0,19.0,11.0,33.0,38.0,37.0,26.0,20.0,22.0,27.0,29.0,30.0,35.0,34.0,12.0,14.0,12.0,6.0,8.0,14.0,8.0,10.0,40.0,33.0,34.0,17.0,45.0,43.0,13.0,18.0,15.0,15.0,20.0,26.0,17.0,37.0,46.0,44.0,51.0,50.0,36.0,29.0,30.0,37.0,42.0,41.0,38.0,43.0,42.0,49.0
m8,7.0,29.0,22.0,18.0,14.0,53.0,10.0,43.0,36.0,34.0,64.0,42.0,41.0,7.0,20.0,31.0,41.0,6.0,3.0,55.0,11.0,4.0,5.0,25.0,24.0,17.0,23.0,7.0,0.0,2.0,21.0,20.0,6.0,13.0,19.0,4.0,1.0,11.0,12.0,14.0,12.0,5.0,1.0,7.0,2.0,41.0,33.0,32.0,50.0,48.0,3.0,4.0,35.0,34.0,26.0,25.0,35.0,18.0,24.0,5.0,2.0,40.0,26.0,25.0,10.0,3.0,24.0,23.0,16.0,22.0,23.0,8.0,22.0,21.0,14.0,20.0,24.0,9.0,23.0,22.0,15.0,21.0,36.0,32.0,31.0,30.0,30.0,37.0,39.0,10.0,9.0,8.0,8.0,7.0,32.0,28.0,27.0,26.0,4.0,40.0,45.0,44.0,33.0,27.0,29.0,34.0,36.0,37.0,42.0,41.0,19.0,21.0,17.0,11.0,13.0,15.0,9.0,11.0,47.0,40.0,41.0,24.0,52.0,50.0,18.0,25.0,16.0,20.0,27.0,33.0,18.0,44.0,53.0,51.0,58.0,57.0,43.0,36.0,37.0,44.0,49.0,48.0,45.0,50.0,49.0,56.0
m9,5.0,31.0,24.0,20.0,16.0,55.0,8.0,45.0,38.0,36.0,66.0,44.0,43.0,9.0,22.0,33.0,43.0,8.0,3.0,57.0,13.0,6.0,3.0,27.0,26.0,19.0,25.0,9.0,2.0,0.0,23.0,22.0,8.0,15.0,21.0,6.0,1.0,13.0,14.0,16.0,14.0,7.0,3.0,9.0,4.0,43.0,35.0,34.0,52.0,50.0,1.0,2.0,37.0,36.0,28.0,27.0,37.0,20.0,26.0,7.0,2.0,42.0,28.0,27.0,12.0,5.0,26.0,25.0,18.0,24.0,25.0,10.0,24.0,23.0,16.0,22.0,26.0,11.0,25.0,24.0,17.0,23.0,38.0,34.0,33.0,32.0,32.0,39.0,41.0,12.0,11.0,10.0,10.0,9.0,34.0,30.0,29.0,28.0,4.0,42.0,47.0,46.0,35.0,29.0,31.0,36.0,38.0,39.0,44.0,43.0,21.0,23.0,19.0,13.0,15.0,17.0,11.0,13.0,49.0,42.0,43.0,26.0,54.0,52.0,20.0,27.0,18.0,22.0,29.0,35.0,20.0,46.0,55.0,53.0,60.0,59.0,45.0,38.0,39.0,46.0,51.0,50.0,47.0,52.0,51.0,58.0
m10,28.0,8.0,1.0,25.0,35.0,32.0,31.0,22.0,15.0,15.0,43.0,21.0,20.0,16.0,15.0,14.0,20.0,19.0,24.0,34.0,18.0,25.0,26.0,4.0,5.0,12.0,6.0,14.0,21.0,23.0,0.0,1.0,15.0,8.0,2.0,17.0,22.0,32.0,19.0,21.0,33.0,26.0,22.0,28.0,23.0,20.0,12.0,13.0,29.0,27.0,24.0,25.0,14.0,13.0,5.0,6.0,14.0,13.0,7.0,18.0,23.0,19.0,5.0,4.0,17.0,24.0,3.0,4.0,11.0,5.0,2.0,15.0,1.0,2.0,9.0,3.0,3.0,16.0,2.0,3.0,10.0,4.0,15.0,11.0,12.0,9.0,13.0,16.0,18.0,19.0,18.0,17.0,21.0,20.0,11.0,7.0,8.0,9.0,25.0,19.0,24.0,23.0,12.0,6.0,8.0,13.0,15.0,16.0,21.0,20.0,26.0,28.0,26.0,20.0,22.0,28.0,22.0,24.0,26.0,19.0,20.0,19.0,31.0,29.0,27.0,20.0,29.0,29.0,22.0,16.0,31.0,23.0,32.0,30.0,37.0,36.0,22.0,15.0,16.0,23.0,28.0,27.0,24.0,29.0,28.0,35.0
m11,27.0,9.0,2.0,24.0,34.0,33.0,30.0,23.0,16.0,14.0,44.0,22.0,21.0,15.0,14.0,13.0,21.0,18.0,23.0,35.0,17.0,24.0,25.0,5.0,4.0,11.0,5.0,13.0,20.0,22.0,1.0,0.0,14.0,7.0,1.0,16.0,21.0,31.0,18.0,20.0,32.0,25.0,21.0,27.0,22.0,21.0,13.0,12.0,30.0,28.0,23.0,24.0,15.0,14.0,6.0,5.0,15.0,12.0,6.0,17.0,22.0,20.0,6.0,5.0,16.0,23.0,4.0,3.0,10.0,4.0,3.0,14.0,2.0,1.0,8.0,2.0,4.0,15.0,3.0,2.0,9.0,3.0,16.0,12.0,11.0,10.0,12.0,17.0,19.0,18.0,17.0,16.0,20.0,19.0,12.0,8.0,7.0,8.0,24.0,20.0,25.0,24.0,13.0,7.0,9.0,14.0,16.0,17.0,22.0,21.0,25.0,27.0,25.0,19.0,21.0,27.0,21.0,23.0,27.0,20.0,21.0,18.0,32.0,30.0,26.0,19.0,28.0,28.0,21.0,15.0,30.0,24.0,33.0,31.0,38.0,37.0,23.0,16.0,17.0,24.0,29.0,28.0,25.0,30.0,29.0,36.0
m12,13.0,23.0,16.0,12.0,20.0,47.0,16.0,37.0,30.0,28.0,58.0,36.0,35.0,1.0,14.0,25.0,35.0,4.0,9.0,49.0,5.0,10.0,11.0,19.0,18.0,11.0,17.0,1.0,6.0,8.0,15.0,14.0,0.0,7.0,13.0,2.0,7.0,17.0,6.0,8.0,18.0,11.0,7.0,13.0,8.0,35.0,27.0,26.0,44.0,42.0,9.0,10.0,29.0,28.0,20.0,19.0,29.0,12.0,18.0,3.0,8.0,34.0,20.0,19.0,4.0,9.0,18.0,17.0,10.0,16.0,17.0,2.0,16.0,15.0,8.0,14.0,18.0,3.0,17.0,16.0,9.0,15.0,30.0,26.0,25.0,24.0,24.0,31.0,33.0,4.0,3.0,2.0,6.0,5.0,26.0,22.0,21.0,20.0,10.0,34.0,39.0,38.0,27.0,21.0,23.0,28.0,30.0,31.0,36.0,35.0,13.0,15.0,11.0,5.0,7.0,13.0,7.0,9.0,41.0,34.0,35.0,18.0,46.0,44.0,12.0,19.0,14.0,14.0,21.0,27.0,16.0,38.0,47.0,45.0,52.0,51.0,37.0,30.0,31.0,38.0,43.0,42.0,39.0,44.0,43.0,50.0
m13,20.0,16.0,9.0,17.0,27.0,40.0,23.0,30.0,23.0,21.0,51.0,29.0,28.0,8.0,7.0,18.0,28.0,11.0,16.0,42.0,10.0,17.0,18.0,12.0,11.0,4.0,10.0,6.0,13.0,15.0,8.0,7.0,7.0,0.0,6.0,9.0,14.0,24.0,11.0,13.0,25.0,18.0,14.0,20.0,15.0,28.0,20.0,19.0,37.0,35.0,16.0,17.0,22.0,21.0,13.0,12.0,22.0,5.0,11.0,10.0,15.0,27.0,13.0,12.0,9.0,16.0,11.0,10.0,3.0,9.0,10.0,7.0,9.0,8.0,1.0,7.0,11.0,8.0,10.0,9.0,2.0,8.0,23.0,19.0,18.0,17.0,17.0,24.0,26.0,11.0,10.0,9.0,13.0,12.0,19.0,15.0,14.0,13.0,17.0,27.0,32.0,31.0,20.0,14.0,16.0,21.0,23.0,24.0,29.0,28.0,18.0,20.0,18.0,12.0,14.0,20.0,14.0,16.0,34.0,27.0,28.0,11.0,39.0,37.0,19.0,12.0,21.0,21.0,14.0,20.0,23.0,31.0,40.0,38.0,45.0,44.0,30.0,23.0,24.0,31.0,36.0,35.0,32.0,37.0,36.0,43.0
m14,26.0,10.0,3.0,23.0,33.0,34.0,29.0,24.0,17.0,15.0,45.0,23.0,22.0,14.0,13.0,12.0,22.0,17.0,22.0,36.0,16.0,23.0,24.0,6.0,5.0,10.0,4.0,12.0,19.0,21.0,2.0,1.0,13.0,6.0,0.0,15.0,20.0,30.0,17.0,19.0,31.0,24.0,20.0,26.0,21.0,22.0,14.0,13.0,31.0,29.0,22.0,23.0,16.0,15.0,7.0,6.0,16.0,11.0,5.0,16.0,21.0,21.0,7.0,6.0,15.0,22.0,5.0,4.0,9.0,3.0,4.0,13.0,3.0,2.0,7.0,1.0,5.0,14.0,4.0,3.0,8.0,2.0,17.0,13.0,12.0,11.0,11.0,18.0,20.0,17.0,16.0,15.0,19.0,18.0,13.0,9.0,8.0,7.0,23.0,21.0,26.0,25.0,14.0,8.0,10.0,15.0,17.0,18.0,23.0,22.0,24.0,26.0,24.0,18.0,20.0,26.0,20.0,22.0,28.0,21.0,22.0,17.0,33.0,31.0,25.0,18.0,27.0,27.0,20.0,14.0,29.0,25.0,34.0,32.0,39.0,38.0,24.0,17.0,18.0,25.0,30.0,29.0,26.0,31.0,30.0,37.0
m15,11.0,25.0,18.0,14.0,18.0,49.0,14.0,39.0,32.0,30.0,60.0,38.0,37.0,3.0,16.0,27.0,37.0,2.0,7.0,51.0,7.0,8.0,9.0,21.0,20.0,13.0,19.0,3.0,4.0,6.0,17.0,16.0,2.0,9.0,15.0,0.0,5.0,15.0,8.0,10.0,16.0,9.0,5.0,11.0,6.0,37.0,29.0,28.0,46.0,44.0,7.0,8.0,31.0,30.0,22.0,21.0,31.0,14.0,20.0,1.0,6.0,36.0,22.0,21.0,6.0,7.0,20.0,19.0,12.0,18.0,19.0,4.0,18.0,17.0,10.0,16.0,20.0,5.0,19.0,18.0,11.0,17.0,32.0,28.0,27.0,26.0,26.0,33.0,35.0,6.0,5.0,4.0,4.0,3.0,28.0,24.0,23.0,22.0,8.0,36.0,41.0,40.0,29.0,23.0,25.0,30.0,32.0,33.0,38.0,37.0,15.0,17.0,13.0,7.0,9.0,11.0,5.0,7.0,43.0,36.0,37.0,20.0,48.0,46.0,14.0,21.0,12.0,16.0,23.0,29.0,14.0,40.0,49.0,47.0,54.0,53.0,39.0,32.0,33.0,40.0,45.0,44.0,41.0,46.0,45.0,52.0
m16,6.0,30.0,23.0,19.0,15.0,54.0,9.0,44.0,37.0,35.0,65.0,43.0,42.0,8.0,21.0,32.0,42.0,7.0,2.0,56.0,12.0,5.0,4.0,26.0,25.0,18.0,24.0,8.0,1.0,1.0,22.0,21.0,7.0,14.0,20.0,5.0,0.0,12.0,13.0,15.0,13.0,6.0,2.0,8.0,3.0,42.0,34.0,33.0,51.0,49.0,2.0,3.0,36.0,35.0,27.0,26.0,36.0,19.0,25.0,6.0,1.0,41.0,27.0,26.0,11.0,4.0,25.0,24.0,17.0,23.0,24.0,9.0,23.0,22.0,15.0,21.0,25.0,10.0,24.0,23.0,16.0,22.0,37.0,33.0,32.0,31.0,31.0,38.0,40.0,11.0,10.0,9.0,9.0,8.0,33.0,29.0,28.0,27.0,3.0,41.0,46.0,45.0,34.0,28.0,30.0,35.0,37.0,38.0,43.0,42.0,20.0,22.0,18.0,12.0,14.0,16.0,10.0,12.0,48.0,41.0,42.0,25.0,53.0,51.0,19.0,26.0,17.0,21.0,28.0,34.0,19.0,45.0,54.0,52.0,59.0,58.0,44.0,37.0,38.0,45.0,50.0,49.0,46.0,51.0,50.0,57.0
m17,18.0,32.0,33.0,7.0,3.0,42.0,15.0,32.0,25.0,23.0,53.0,31.0,42.0,16.0,17.0,20.0,30.0,13.0,10.0,44.0,14.0,7.0,10.0,28.0,27.0,20.0,26.0,18.0,11.0,13.0,32.0,31.0,17.0,24.0,30.0,15.0,12.0,0.0,13.0,11.0,1.0,6.0,10.0,4.0,9.0,30.0,22.0,21.0,39.0,37.0,12.0,11.0,24.0,35.0,27.0,26.0,36.0,19.0,25.0,14.0,11.0,29.0,29.0,30.0,15.0,8.0,29.0,28.0,21.0,27.0,32.0,17.0,31.0,30.0,23.0,29.0,31.0,16.0,30.0,29.0,22.0,28.0,25.0,21.0,20.0,31.0,19.0,26.0,28.0,13.0,14.0,15.0,11.0,12.0,29.0,25.0,24.0,23.0,9.0,29.0,34.0,33.0,22.0,28.0,26.0,23.0,25.0,26.0,31.0,30.0,8.0,10.0,6.0,12.0,10.0,4.0,10.0,8.0,36.0,29.0,30.0,13.0,41.0,39.0,7.0,14.0,5.0,9.0,16.0,22.0,7.0,33.0,42.0,40.0,47.0,46.0,40.0,33.0,34.0,33.0,38.0,37.0,34.0,39.0,38.0,45.0
m18,19.0,19.0,20.0,6.0,16.0,41.0,16.0,31.0,24.0,22.0,52.0,30.0,29.0,5.0,8.0,19.0,29.0,6.0,11.0,43.0,1.0,8.0,11.0,15.0,14.0,7.0,13.0,5.0,12.0,14.0,19.0,18.0,6.0,11.0,17.0,8.0,13.0,13.0,0.0,2.0,14.0,7.0,11.0,9.0,10.0,29.0,21.0,20.0,38.0,36.0,13.0,12.0,23.0,22.0,14.0,13.0,23.0,6.0,12.0,7.0,12.0,28.0,16.0,17.0,2.0,9.0,16.0,15.0,8.0,14.0,19.0,4.0,18.0,17.0,10.0,16.0,18.0,3.0,17.0,16.0,9.0,15.0,24.0,20.0,19.0,18.0,18.0,25.0,27.0,2.0,3.0,4.0,4.0,5.0,20.0,16.0,15.0,14.0,10.0,28.0,33.0,32.0,21.0,15.0,17.0,22.0,24.0,25.0,30.0,29.0,7.0,9.0,7.0,1.0,3.0,9.0,3.0,5.0,35.0,28.0,29.0,12.0,40.0,38.0,8.0,13.0,10.0,10.0,15.0,21.0,12.0,32.0,41.0,39.0,46.0,45.0,31.0,24.0,25.0,32.0,37.0,36.0,33.0,38.0,37.0,44.0
m19,21.0,21.0,22.0,4.0,14.0,39.0,18.0,29.0,22.0,20.0,50.0,28.0,31.0,7.0,6.0,17.0,27.0,8.0,13.0,41.0,3.0,10.0,13.0,17.0,16.0,9.0,15.0,7.0,14.0,16.0,21.0,20.0,8.0,13.0,19.0,10.0,15.0,11.0,2.0,0.0,12.0,9.0,13.0,7.0,12.0,27.0,19.0,18.0,36.0,34.0,15.0,14.0,21.0,24.0,16.0,15.0,25.0,8.0,14.0,9.0,14.0,26.0,18.0,19.0,4.0,11.0,18.0,17.0,10.0,16.0,21.0,6.0,20.0,19.0,12.0,18.0,20.0,5.0,19.0,18.0,11.0,17.0,22.0,18.0,17.0,20.0,16.0,23.0,25.0,4.0,5.0,6.0,6.0,7.0,18.0,14.0,13.0,12.0,12.0,26.0,31.0,30.0,19.0,17.0,15.0,20.0,22.0,23.0,28.0,27.0,5.0,7.0,5.0,3.0,1.0,7.0,5.0,3.0,33.0,26.0,27.0,10.0,38.0,36.0,6.0,11.0,8.0,8.0,13.0,19.0,10.0,30.0,39.0,37.0,44.0,43.0,29.0,22.0,23.0,30.0,35.0,34.0,31.0,36.0,35.0,42.0
m20,19.0,33.0,34.0,8.0,2.0,41.0,16.0,31.0,24.0,22.0,52.0,30.0,43.0,17.0,18.0,19.0,29.0,14.0,11.0,43.0,15.0,8.0,11.0,29.0,28.0,21.0,27.0,19.0,12.0,14.0,33.0,32.0,18.0,25.0,31.0,16.0,13.0,1.0,14.0,12.0,0.0,7.0,11.0,5.0,10.0,29.0,21.0,20.0,38.0,36.0,13.0,12.0,23.0,36.0,28.0,27.0,37.0,20.0,26.0,15.0,12.0,28.0,30.0,31.0,16.0,9.0,30.0,29.0,22.0,28.0,33.0,18.0,32.0,31.0,24.0,30.0,32.0,17.0,31.0,30.0,23.0,29.0,26.0,22.0,21.0,32.0,20.0,25.0,27.0,14.0,15.0,16.0,12.0,13.0,30.0,26.0,25.0,24.0,10.0,28.0,33.0,32.0,23.0,29.0,27.0,22.0,24.0,25.0,30.0,29.0,7.0,9.0,7.0,13.0,11.0,5.0,11.0,9.0,37.0,30.0,31.0,14.0,40.0,38.0,6.0,13.0,4.0,8.0,15.0,21.0,6.0,32.0,41.0,39.0,46.0,45.0,41.0,34.0,35.0,32.0,37.0,36.0,33.0,38.0,37.0,44.0
m21,12.0,26.0,27.0,13.0,9.0,48.0,9.0,38.0,31.0,29.0,59.0,37.0,36.0,10.0,15.0,26.0,36.0,7.0,4.0,50.0,8.0,1.0,4.0,22.0,21.0,14.0,20.0,12.0,5.0,7.0,26.0,25.0,11.0,18.0,24.0,9.0,6.0,6.0,7.0,9.0,7.0,0.0,4.0,2.0,3.0,36.0,28.0,27.0,45.0,43.0,6.0,5.0,30.0,29.0,21.0,20.0,30.0,13.0,19.0,8.0,5.0,35.0,23.0,24.0,9.0,2.0,23.0,22.0,15.0,21.0,26.0,11.0,25.0,24.0,17.0,23.0,25.0,10.0,24.0,23.0,16.0,22.0,31.0,27.0,26.0,25.0,25.0,32.0,34.0,7.0,8.0,9.0,5.0,6.0,27.0,23.0,22.0,21.0,3.0,35.0,40.0,39.0,28.0,22.0,24.0,29.0,31.0,32.0,37.0,36.0,14.0,16.0,12.0,6.0,8.0,10.0,4.0,6.0,42.0,35.0,36.0,19.0,47.0,45.0,13.0,20.0,11.0,15.0,22.0,28.0,13.0,39.0,48.0,46.0,53.0,52.0,38.0,31.0,32.0,39.0,44.0,43.0,40.0,45.0,44.0,51.0
m22,8.0,28.0,23.0,17.0,13.0,52.0,9.0,42.0,35.0,33.0,63.0,41.0,40.0,6.0,19.0,30.0,40.0,5.0,2.0,54.0,10.0,3.0,4.0,24.0,23.0,16.0,22.0,8.0,1.0,3.0,22.0,21.0,7.0,14.0,20.0,5.0,2.0,10.0,11.0,13.0,11.0,4.0,0.0,6.0,1.0,40.0,32.0,31.0,49.0,47.0,2.0,3.0,34.0,33.0,25.0,24.0,34.0,17.0,23.0,4.0,1.0,39.0,25.0,24.0,9.0,2.0,23.0,22.0,15.0,21.0,22.0,7.0,21.0,20.0,13.0,19.0,23.0,8.0,22.0,21.0,14.0,20.0,35.0,31.0,30.0,29.0,29.0,36.0,38.0,9.0,8.0,7.0,7.0,6.0,31.0,27.0,26.0,25.0,3.0,39.0,44.0,43.0,32.0,26.0,28.0,33.0,35.0,36.0,41.0,40.0,18.0,20.0,16.0,10.0,12.0,14.0,8.0,10.0,46.0,39.0,40.0,23.0,51.0,49.0,17.0,24.0,15.0,19.0,26.0,32.0,17.0,43.0,52.0,50.0,57.0,56.0,42.0,35.0,36.0,43.0,48.0,47.0,44.0,49.0,48.0,55.0
m23,14.0,28.0,29.0,11.0,7.0,46.0,11.0,36.0,29.0,27.0,57.0,35.0,38.0,12.0,13.0,24.0,34.0,9.0,6.0,48.0,10.0,3.0,6.0,24.0,23.0,16.0,22.0,14.0,7.0,9.0,28.0,27.0,13.0,20.0,26.0,11.0,8.0,4.0,9.0,7.0,5.0,2.0,6.0,0.0,5.0,34.0,26.0,25.0,43.0,41.0,8.0,7.0,28.0,31.0,23.0,22.0,32.0,15.0,21.0,10.0,7.0,33.0,25.0,26.0,11.0,4.0,25.0,24.0,17.0,23.0,28.0,13.0,27.0,26.0,19.0,25.0,27.0,12.0,26.0,25.0,18.0,24.0,29.0,25.0,24.0,27.0,23.0,30.0,32.0,9.0,10.0,11.0,7.0,8.0,25.0,21.0,20.0,19.0,5.0,33.0,38.0,37.0,26.0,24.0,22.0,27.0,29.0,30.0,35.0,34.0,12.0,14.0,10.0,8.0,6.0,8.0,6.0,4.0,40.0,33.0,34.0,17.0,45.0,43.0,11.0,18.0,9.0,13.0,20.0,26.0,11.0,37.0,46.0,44.0,51.0,50.0,36.0,29.0,30.0,37.0,42.0,41.0,38.0,43.0,42.0,49.0
m24,9.0,27.0,24.0,16.0,12.0,51.0,8.0,41.0,34.0,32.0,62.0,40.0,39.0,7.0,18.0,29.0,39.0,4.0,1.0,53.0,9.0,2.0,3.0,23.0,22.0,15.0,21.0,9.0,2.0,4.0,23.0,22.0,8.0,15.0,21.0,6.0,3.0,9.0,10.0,12.0,10.0,3.0,1.0,5.0,0.0,39.0,31.0,30.0,48.0,46.0,3.0,2.0,33.0,32.0,24.0,23.0,33.0,16.0,22.0,5.0,2.0,38.0,24.0,23.0,8.0,1.0,22.0,21.0,14.0,20.0,23.0,8.0,22.0,21.0,14.0,20.0,22.0,7.0,21.0,20.0,13.0,19.0,34.0,30.0,29.0,28.0,28.0,35.0,37.0,8.0,7.0,6.0,6.0,5.0,30.0,26.0,25.0,24.0,2.0,38.0,43.0,42.0,31.0,25.0,27.0,32.0,34.0,35.0,40.0,39.0,17.0,19.0,15.0,9.0,11.0,13.0,7.0,9.0,45.0,38.0,39.0,22.0,50.0,48.0,16.0,23.0,14.0,18.0,25.0,31.0,16.0,42.0,51.0,49.0,56.0,55.0,41.0,34.0,35.0,42.0,47.0,46.0,43.0,48.0,47.0,54.0
